GeneName	geneSymbol	GeneDescription
21S_rRNA_4	21S_RRNA_4	""
9S_rRNA_1	9S_RRNA_1	""
9S_rRNA_5	9S_RRNA_5	""
ETS1-1	ETS1-1	External Transcribed Spacer
ETS1-2	ETS1-2	External Transcribed Spacer
ETS2-1	ETS2-1	External Transcribed Spacer
ETS2-2	ETS2-2	External Transcribed Spacer
ITS1-1	ITS1-1	Internal Transcribed Spacer
ITS1-2	ITS1-2	Internal Transcribed Spacer
ITS2-1	ITS2-1	Internal Transcribed Spacer
ITS2-2	ITS2-2	Internal Transcribed Spacer
LSR1	LSR1	Large Spliceosomal RNA
NME1	NME1	Nuclear Mitochondrial processing Endoribonuclease
NTS1-2	NTS1-2	""
NTS2-1	NTS2-1	""
NTS2-2	NTS2-2	""
Q0010	""	""
Q0017	""	""
Q0020	15S_RRNA	""
Q0032	""	""
Q0045	COX1	Cytochrome c OXidase
Q0050	AI1	""
Q0055	AI2	""
Q0060	AI3	""
Q0065	AI4	""
Q0070	AI5_ALPHA	""
Q0075	AI5_BETA	""
Q0080	ATP8	ATP synthase
Q0085	ATP6	ATP synthase
Q0092	""	""
Q0105	COB	CytochrOme B
Q0110	BI2	""
Q0115	BI3	""
Q0120	BI4	""
Q0130	OLI1	OLIgomycin resistance
Q0140	VAR1	""
Q0142	""	""
Q0143	""	""
Q0144	""	""
Q0158	21S_RRNA	""
Q0160	SCEI	""
Q0182	""	""
Q0250	COX2	Cytochrome c OXidase
Q0255	""	""
Q0275	COX3	Cytochrome c OXidase
Q0297	""	""
R0010W	FLP1	FLiPase
R0020C	REP1	REPlication
R0030W	RAF1	REP Antagonizing Factor or Recombinase Activating Factor
R0040C	REP2	REPlication
RDN18-1	RDN18-1	""
RDN18-2	RDN18-2	""
RDN25-1	RDN25-1	""
RDN25-2	RDN25-2	""
RDN37-1	RDN37-1	""
RDN37-2	RDN37-2	""
RDN5-1	RDN5-1	""
RDN5-2	RDN5-2	""
RDN5-3	RDN5-3	""
